,r1_vector,epsilon_vec,gamma_vector,delta_vector,prob_disturb_vec,severity_disturb_vec,omega_vec,optimal_spacing,prob_persistence
291,2,0.25,0.501,0.401,0.1,0.1,1.2,10,99.9979748929939
292,2,0.75,0.501,0.401,0.1,0.1,1.2,10,99.9966045736188
293,2,0.25,0.601,0.401,0.1,0.1,1.2,13,99.9974693297935
294,2,0.75,0.601,0.401,0.1,0.1,1.2,10,99.9967151722574
295,2,0.25,0.701,0.401,0.1,0.1,1.2,9,99.9981017779533
296,2,0.75,0.701,0.401,0.1,0.1,1.2,5,99.9972986014615
297,2,0.25,0.801,0.401,0.1,0.1,1.2,6,99.9983797317704
298,2,0.75,0.801,0.401,0.1,0.1,1.2,10,99.9974131923032
299,2,0.25,0.901,0.401,0.1,0.1,1.2,9,99.9979870468107
300,2,0.75,0.901,0.401,0.1,0.1,1.2,8,99.9968123482901
301,2,0.25,0.001,0.501,0.1,0.1,1.2,30,99.9689770418089
302,2,0.75,0.001,0.501,0.1,0.1,1.2,9,99.9900455052116
303,2,0.25,0.101,0.501,0.1,0.1,1.2,18,99.9942298457483
304,2,0.75,0.101,0.501,0.1,0.1,1.2,10,99.9953655734386
305,2,0.25,0.201,0.501,0.1,0.1,1.2,8,99.9983360183811
306,2,0.75,0.201,0.501,0.1,0.1,1.2,9,99.9968346093432
307,2,0.25,0.301,0.501,0.1,0.1,1.2,10,99.9981224486355
308,2,0.75,0.301,0.501,0.1,0.1,1.2,6,99.9961982200445
309,2,0.25,0.401,0.501,0.1,0.1,1.2,8,99.9983009659218
310,2,0.75,0.401,0.501,0.1,0.1,1.2,7,99.9974039176143
311,2,0.25,0.501,0.501,0.1,0.1,1.2,8,99.9984854512851
312,2,0.75,0.501,0.501,0.1,0.1,1.2,5,99.9978766079987
313,2,0.25,0.601,0.501,0.1,0.1,1.2,10,99.9986686146434
314,2,0.75,0.601,0.501,0.1,0.1,1.2,10,99.9968226500804
315,2,0.25,0.701,0.501,0.1,0.1,1.2,10,99.9985186470104
316,2,0.75,0.701,0.501,0.1,0.1,1.2,9,99.9973223267574
