,fishing_values_vec,r_value_vec,omega_value_vec,dispersal_value_vec,disturbance_prob_vec,disturbance_size_vec,disturbance_magnitude_vec,objective_vec,optimal_spacing,mean_objective_value
3.86,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.87,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.88,1,3,1.2,0.7,0.005,2,0.9,persistence,2.5,100
3.89,1,3,1.2,0.7,0.005,2,0.9,persistence,2.5,100
3.90,1,3,1.2,0.7,0.005,2,0.9,persistence,2,100
3.91,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.92,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.93,1,3,1.2,0.7,0.005,2,0.9,persistence,2.5,100
3.94,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.95,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
3.96,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.97,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.98,1,3,1.2,0.7,0.005,2,0.9,persistence,2.5,100
3.99,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
4,1,3,1.2,0.7,0.0075,2,0.9,persistence,0.5,100
4.1,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,99
4.2,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.3,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.4,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,99
4.5,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.6,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.7,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.8,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,98
4.9,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.10,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.11,1,3,1.2,0.7,0.0075,2,0.9,persistence,0.5,100
4.12,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.13,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,99
4.14,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.15,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.16,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.17,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.18,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
